time,odom-x,odom-y,est-x,est-y
35.600000000,0.0,0.0,-0.052074214385083195,0.01996428448202714
35.800000000,0.1,0.0,0.15297896962017887,-0.024177279836194998
35.900000000,0.2,0.0,0.09640608888465607,0.055434164732742985
36.0,0.299997217319579,0.0007460082713257959,0.24636317311493627,0.03967641994393212
36.100000000,0.299997217319579,0.0007460082713257959,0.282825361556867,0.1053683690871079
36.200000000,0.399994434639158,0.0014920165426515917,0.3950492835245818,0.1004533991126575
36.300000000,0.4999842482596227,6.472114759975469e-05,0.5313759577377901,0.10830615374804786
36.400000000,0.5999194299558989,-0.0035352037588760846,0.6702926380516772,0.18083370523846476
36.600000000,0.5999194299558989,-0.0035352037588760846,0.7748577433725963,0.18898754480018987
36.800000000,0.5999194299558989,-0.0035352037588760846,0.790874293036822,0.04283425941443575
37.0,0.5999194299558989,-0.0035352037588760846,0.7363408370462494,0.09751824555832478
37.100000000,0.5999194299558989,-0.0035352037588760846,0.8837604220487236,0.08614795962326305
37.300000000,0.5999194299558989,-0.0035352037588760846,0.7471185447402036,0.07481149576883617
37.400000000,0.5999194299558989,-0.0035352037588760846,0.723996771632109,-0.019270807395422196
37.500000000,0.5999194299558989,-0.0035352037588760846,0.8825531168422991,0.11443112217606988
37.600000000,0.5999194299558989,-0.0035352037588760846,0.786146910929407,0.092769268350823
37.800000000,0.5999194299558989,-0.0035352037588760846,0.6599744919348964,0.10964089107580044
38.0,0.5999194299558989,-0.0035352037588760846,0.8884272259740662,0.16715031202792652
38.100000000,0.5999194299558989,-0.0035352037588760846,0.7882760123774304,0.15753594520252356
38.300000000,0.5999194299558989,-0.0035352037588760846,0.8766199378224577,0.0588451084832311
38.400000000,0.5999194299558989,-0.0035352037588760846,0.9317669846111265,0.20711155304578632
38.600000000,0.5999194299558989,-0.0035352037588760846,0.895280696414126,0.14115352401081616
38.900000000,0.5999194299558989,-0.0035352037588760846,0.7667463237584187,0.052284478402500056
39.0,0.5999194299558989,-0.0035352037588760846,0.7375537527676777,0.19005348833280244
39.200000000,0.5999194299558989,-0.0035352037588760846,0.7200050528481121,0.044363284842036776
39.400000000,0.5999194299558989,-0.0035352037588760846,0.6257723495089458,-0.016334810050372184
39.500000000,0.5999194299558989,-0.0035352037588760846,0.7119321007992951,0.06627088677255522
39.600000000,0.5999194299558989,-0.0035352037588760846,0.6039746103001349,0.07552814525108609
39.800000000,0.5999194299558989,-0.0035352037588760846,0.7244811187559002,0.09759323191897984
39.900000000,0.5999194299558989,-0.0035352037588760846,0.5768692827975137,0.13294623353856316
40.0,0.5999194299558989,-0.0035352037588760846,0.6933912562840874,0.020664094856805093
40.300000000,0.5999194299558989,-0.0035352037588760846,0.6552320588270604,0.12257719625057284
40.400000000,0.5999194299558989,-0.0035352037588760846,0.7071264232758487,-0.028955097727482837
40.600000000,0.5999194299558989,-0.0035352037588760846,0.5416199615446935,-0.04134536893194429
40.700000000,0.5999194299558989,-0.0035352037588760846,0.7174641133882425,-0.05864303970581908
40.800000000,0.5999194299558989,-0.0035352037588760846,0.5686839809999,-0.05877150487017779
40.900000000,0.5999194299558989,-0.0035352037588760846,0.4589649501804196,0.012550429870389124
41.0,0.5999194299558989,-0.0035352037588760846,0.527836373500854,-0.15465180750410745
