time,difference
129.9,2.8366145889
130.1,2.8326214638
130.3,2.8315568463
130.5,2.9682457677
130.8,2.8421653411
131,2.8125673854
131.1,2.8228611019
131.4,2.8948560035
131.8,2.9391638453
132,2.9865495074
132.1,3.0473680846
132.2,3.1124786463
132.4,3.2082430196
132.6,3.3298775185
132.8,3.3738876428
133,3.3288021119
133.1,3.2539109595
133.3,3.1608400059
133.5,3.2440711173
134,3.3160566254
134.1,3.2419205039
134.4,3.2117937012
134.7,3.3010077534
135.1,3.260263513
135.5,3.1925883659
135.8,3.1814671372
136.1,3.2043867394
136.3,3.3132977491
136.6,3.2775577542
136.8,3.3422149688
136.9,3.4697992639
137.2,3.5215583109
137.3,3.4710803106
137.5,3.5811633774
137.7,3.600786165
138,3.6472075029
138.5,3.6364117564
138.8,3.508205938
139,3.5155175706
139.4,3.5589655223
139.8,3.6296690834
140.2,3.7135593691
140.4,3.5470438794
140.6,3.5481207724
141,3.4780327325
141.5,3.5394174999
141.8,3.6278300159
142,3.6784454648
142.1,3.6628492838
142.3,3.7630341879
142.7,3.7870696206
142.9,3.8571614158
143.1,3.9149733431
143.2,4.0274173309
143.3,4.0681229599
143.7,4.1179628797
143.9,4.0340835982
144.1,3.9980259423
144.4,4.1282259353
144.7,4.0323411784
145,4.1072489535
145.2,4.1512060265
145.5,4.1847073196
145.6,4.1429455568
145.7,4.2593431795
145.8,4.2849340486
146,4.2139083044
146.4,4.2353405333
146.7,4.1377219154
147,4.1388093915
147.4,4.0727905202
147.7,4.1509045899
147.8,4.0838296871
147.9,3.99627087
148,4.0379205436
148.1,3.9362687877
148.5,3.9803074831
148.6,3.9013321301
149,3.7925876789
149.4,3.6898826251
149.5,3.7894478396
149.7,3.6949050177
149.9,3.6276573794
150,3.6467718486
150.4,3.646481786
150.5,3.6666171359
150.6,3.5587379306
150.9,3.5035977328
151,3.6178008569
151.3,3.5125876533
151.5,3.5582143853
151.7,3.5365000101
151.8,3.5187905912
152.3,3.449864177
152.5,3.437834738
152.7,3.4078323315
152.8,3.4085069437
153.1,3.4109780776
153.3,3.3107787571
153.5,3.2660625895
153.8,3.2568195717
154,3.1863346579
154.1,3.0697485341
154.4,3.0215972315
155,3.0682132266
155.5,3.1836941996
155.6,3.262386973
156,3.3980529259
156.3,3.3542478367
156.4,3.3041977048
156.5,3.2372199083
156.8,3.2198054914
157.1,3.1218769153
157.3,3.0460069134
157.5,2.9991296051
158,2.9482344043
158.2,3.072964312
158.3,3.1693888233
