time,difference
38.7,0.1417753684
39.6,0.2063479087
39.9,0.1161722718
40,0.0586384315
40.7,0.1076706611
41.4,0.192869139
43,0.190344708
43.3,0.2220290479
44.1,0.1502622387
44.4,0.1682363519
44.6,0.1998970751
45.2,0.1809268868
46,0.0963148756
46.3,0.1760864613
46.7,0.0791536488
47.2,0.1029624208
48.3,0.0660592959
48.9,0.1793677735
49,0.0864216377
49.4,0.1452459117
49.9,0.1270942583
50.1,0.1073486078
50.6,0.1552096874
50.9,0.0860537711
51.6,0.1081768479
52.1,0.167096067
52.5,0.1704156313
52.7,0.2310544913
53.2,0.1896672982
53.5,0.2105543896
53.8,0.0767875131
54,0.23843056
54.3,0.1389209839
54.6,0.181218741
55,0.1996949069
55.7,0.1852098004
56.4,0.1452307132
56.8,0.160771333
57.2,0.1390241091
57.5,0.1578313935
58.3,0.1585071592
58.9,0.1159388977
59.2,0.1490289773
59.8,0.1498425489
60.5,0.0914218072
60.8,0.1035106144
61.1,0.1351474936
61.5,0.1240941686
61.8,0.1573673812
62.3,0.130011772
62.6,0.2021300171
62.7,0.1126990145
63,0.1338974669
63.7,0.1534394095
64.1,0.1779606647
64.8,0.1108872027
65.1,0.1484378267
65.7,0.068676926
65.9,0.1431817321
66.3,0.1888720746
66.8,0.103263432
67,0.1424735338
67.4,0.1887662319
68.2,0.0807625352
68.5,0.1363139054
68.9,0.1199471573
69,0.1803093386
69.7,0.1523755461
70.1,0.1837209623
70.7,0.1884229784
71,0.1887027651
71.5,0.2245968926
72.1,0.2080405912
72.7,0.2246117406
73.2,0.1774656448
73.8,0.212566602
74.3,0.2309478809
74.7,0.1906599416
75,0.2222471242
75.3,0.2039663518
75.8,0.2078626173
76.2,0.233497105
76.8,0.1882647353
76.9,0.171699188
77.3,0.2058622328
77.6,0.2435026161
78.1,0.2116435288
78.7,0.1450030471
79.2,0.1776455663
80,0.1096794905
80.7,0.1833964948
81,0.0865666416
81.2,0.135874064
81.7,0.1202725549
82,0.1244132224
82.5,0.1035524267
82.9,0.1347185127
83.2,0.1022127332
83.6,0.1191708019
84.2,0.1106373738
84.7,0.0557949511
85.1,0.040371694
85.6,0.1025060124
86.3,0.0881432027
86.5,0.0897791539
87,0.0974607124
87.3,0.0497792958
87.6,0.0967584977
87.9,0.1213565273
88.6,0.0925452949
89,0.0938999489
89.6,0.0692258459
89.8,0.1262220129
90.5,0.1021863379
90.8,0.1236921248
91.9,0.1694085476
92.2,0.1191010653
92.6,0.0260646608
93,0.117055254
93.6,0.0950481332
94.4,0.1079765179
94.7,0.0839283921
95,0.1211845134
95.3,0.1448761981
95.6,0.1433933318
96.5,0.1136449409
97,0.1765965617
97.6,0.1811915099
97.7,0.2641443323
98.5,0.1846049762
98.9,0.2057784032
99.7,0.1889415966
99.9,0.2298116543
100.6,0.2897864562
100.7,0.2327686685
100.8,0.2679103212
101.2,0.2882436751
101.9,0.2860808324
102.3,0.2271551135
102.5,0.1709152693
102.8,0.1400792739
103,0.2124856378
103.2,0.2051904134
103.4,0.2159894077
103.7,0.2116122472
103.8,0.159041038
104,0.2238335091
104.5,0.2794635742
104.6,0.2018569496
104.7,0.1636001075
104.9,0.1407709329
105.1,0.1275599744
105.3,0.1382368558
105.5,0.1680508386
105.6,0.2386169444
105.9,0.2502944711
106.1,0.3021210018
106.2,0.1254809953
106.3,0.3075396211
106.4,0.0935743136
106.6,0.3554946155
106.8,0.2698957187
106.9,0.1665627399
107.2,0.2886217854
107.5,0.2442190929
107.6,0.2179653784
107.9,0.302697242
108.2,0.2901312538
108.4,0.3762042657
108.8,0.436048646
108.9,0.4408670786
109.2,22.9069899063
109.3,11.5449810285
109.4,0.4387823419
109.5,1.7097691543
109.7,22.6149607661
109.8,17.5765575259
109.9,5.5363323791
110.1,7.0215281543
110.3,7.4013407138
110.6,14.6465846286
110.7,7.136546149
110.8,19.9780551515
110.9,1.1609326671
111,21.3822234602
111.2,16.5660435576
111.3,21.0289066408
111.4,22.4283720931
111.5,21.9942612874
111.6,5.337157698
111.7,21.6979968169
111.9,17.8139271578
112.1,6.3789891966
112.3,6.405395038
112.4,6.3175296288
112.5,17.2622030248
112.8,26.9640528682
112.9,19.4671985912
113,23.9144445097
113.1,7.3503084045
113.2,22.8462848418
113.3,22.2328568759
113.4,5.7179271698
113.5,11.7748645481
113.6,11.5779730419
113.7,5.5855911874
113.8,22.5303440048
113.9,10.0197147877
114.2,0.3983494092
114.3,21.1690846696
114.4,20.8097044845
114.5,13.0977955386
114.6,16.8226043607
114.7,6.9418055748
